Peter Mertes Kafer Blauer Zweigelt Austria,тихое,unknown,Peter Mertes, Австрия, 0,75 л, сухое, 12,5%
Dal Bello Prosecco San Pietro,игристое,unknown,Dal Bello, Италия, 0,75 л, брют, 11,0%
Колонист Шардоне Выдержанное,тихое,Одесская область,Kolonist, Украина, 0,75 л, сухое, 13,50%
Felix Solis Provetto Rosato Secco,игристое,Кастилия и Леон,Felix Solis Avantis, Испания, 0,75 л, сухое, 10,50%
Peter Mertes Kafer Gruner Veltliner Austria,тихое,unknown,Peter Mertes, Австрия, 0,75 л, сухое, 12,5%
Black Tower Hedgerow Organic,тихое,unknown,Reh Kendermann, Германия, 0,75 л, полусухое, 11,0%
Колонист Каберне Выдержанное,тихое,Одесская область,Kolonist, Украина, 0,75 л, сухое, 13,00%
Santa Ana Classic Chardonnay,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, полусухое, 13,0%
Einig-Zenzen Dr. Zenzen Rheinhessen Spatlese,тихое,Рейнгессен,Einig-Zenzen, Германия, 0,75 л, полусладкое, 9,5%
Gerland Blanc Moelleux,тихое,unknown,Le Club Des Marques SAS, Франция, 0,75 л, полусладкое, 11,00%
Covinca Vina Oria Reserva,тихое,Арагон,Covinca, Испания, 0,75 л, сухое, 13,50%
Besini Alazani Valley,тихое,Кахетия,Besini, Грузия, 0,75 л, полусладкое, 12,00%
Carl Reh Sweet Red,тихое,unknown,Reh Kendermann, Германия, 0,75 л, полусладкое, 8,5%
Колонист «Литургийное» сухое,тихое,Одесская область,Kolonist, Украина, 0,75 л, сухое, 12,00%
Franz Reh & Sohn Liebfraumilch,тихое,Мозель,Reh Kendermann, Германия, 0,75 л, полусладкое, 10,0%
Felix Solis Vina Albali Gran Seleccion Valdepenas,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, сухое, 13,50%
Einig-Zenzen Dr. Zenzen Riesling,тихое,Мозель,Einig-Zenzen, Германия, 0,75 л, полусладкое, 9,5%
Besini Saperavi,null,Кахетия,Besini, Грузия, 0,75 л, сухое, 12,50%
Вина Князя Трубецького Оксамит України,тихое,Херсонская область,Князь Трубецкой, Украина, 0,75 л, сухое, 13%
Purcari Pinot Grigio,тихое,Пуркарь,Purcari, Молдавия, 0,75 л, сухое, 13.00%
Arrogant Frog Tutti Frutti Rouge,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,50%
Domaines Paul Mas Cote Mas Rouge Intense,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,50%
Domaines Paul Mas Cote Mas Rose Aurore,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 12,50%
Domaines Paul Mas Cote Mas Blanc Mediterranee,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 12,50%
Cantina di Soave Bianco di Custoza,тихое,Венето,Cantina di Soave, Италия, 0,75 л, сухое, 11,50%
Arrogant Frog Tutti Frutti Blanc,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 12,50%
Michel Schneider Dornfelder Lieblich,тихое,Пфальц,Zimmermann-Graeff & Muller, Германия, 0,75 л, полусладкое, 11%
Michel Schneider Spatburgunder Trocken,тихое,Пфальц,Zimmermann-Graeff & Muller, Германия, 0,75 л, полусухое, 12,5%
Maison Bouey Chateau Les Graves de Cau,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,50%
Grandes Vinos y Vinedos El Circo Director,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,50%
Deus Muscat of Patras,крепленое,Патры,Cavino, Греция, 0,75 л, сладкое, 15%
Domaines Paul Mas Mas Gewurztraminer Classic,null,unknown,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,0%
Black Tower Rivaner,тихое,unknown,Reh Kendermann, Германия, 0,75 л, полусладкое, 9,50%
Deus Mavrodaphne of Patras,крепленое,Патры,Cavino, Греция, 0,75 л, сладкое, 15%
Tareni Grillo,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, сухое, 12,50%
Vina Herminia Garnacha,тихое,Риоха,Vina Herminia, Испания, 0,75 л, сухое, 14,0%
Casal Garcia White Vinho Verde,тихое,Виньйо Верде,Casal Garcia, Португалия, 0,75 л, полусухое, 8,5 %
Cantine Campoverde Cabernet Sauvignon,тихое,Калабрия,Cantine Campoverde, Италия, 0,75 л, сухое, 13,00%
Grandes Vinos y Vinedos Beso de vino Old Vine Garnacha,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,50%
Cantine Campoverde Magliocco,тихое,Калабрия,Cantine Campoverde, Италия, 0,75 л, сухое, 13,0%
Tareni Syrah,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусухое, 14,00%
Maison Bouey Chateau Pinet la Houssaie,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Beso de vino Organic Tempranillo,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,0%
Tareni Inzolia,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, сухое, 12,00%
